VDiode! (V),Current (A)
-0.682766099,-0.002207257
-0.682766099,-0.002203619
-0.682766099,-0.002203619
-0.682433127,-0.002199981
-0.682433127,-0.002196344
-0.682100154,-0.002196344
-0.682100154,-0.002192706
-0.682100154,-0.002192706
-0.682100154,-0.002189068
-0.681767181,-0.00218543
-0.681767181,-0.00218543
-0.681767181,-0.002181792
-0.681434209,-0.002178154
-0.681434209,-0.002178154
-0.681434209,-0.002174516
-0.681434209,-0.002170878
-0.681101236,-0.002170878
-0.681101236,-0.00216724
-0.681101236,-0.002163603
-0.681101236,-0.002163603
-0.681101236,-0.002159965
-0.680768264,-0.002159965
-0.680768264,-0.002156327
-0.680435291,-0.002152689
-0.680435291,-0.002149051
-0.680435291,-0.002149051
-0.680435291,-0.002145413
-0.680102318,-0.002145413
-0.680102318,-0.002141775
-0.679769346,-0.002138137
-0.679769346,-0.002138137
-0.679769346,-0.002134499
-0.679769346,-0.002134499
-0.679436373,-0.002130861
-0.679436373,-0.002127224
-0.679436373,-0.002123586
-0.6791034,-0.002123586
-0.6791034,-0.002119948
-0.6791034,-0.002119948
-0.6791034,-0.00211631
-0.6791034,-0.00211631
-0.678770428,-0.002112672
-0.678770428,-0.002109034
-0.678770428,-0.002109034
-0.678437455,-0.002105396
-0.678437455,-0.002101758
-0.678437455,-0.002101758
-0.678104483,-0.00209812
-0.678104483,-0.00209812
-0.678104483,-0.002094483
-0.67777151,-0.002090845
-0.67777151,-0.002087207
-0.67777151,-0.002087207
-0.677438537,-0.002083569
-0.677438537,-0.002079931
-0.677438537,-0.002079931
-0.677438537,-0.002076293
-0.677105565,-0.002076293
-0.677105565,-0.002072655
-0.677105565,-0.002069017
-0.676772592,-0.002065379
-0.676772592,-0.002065379
-0.676772592,-0.002061742
-0.67643962,-0.002058104
-0.67643962,-0.002058104
-0.67643962,-0.002054466
-0.67643962,-0.002054466
-0.676106647,-0.002050828
-0.676106647,-0.00204719
-0.676106647,-0.00204719
-0.675773674,-0.002043552
-0.675773674,-0.002043552
-0.675440702,-0.002039914
-0.675440702,-0.002036276
-0.675440702,-0.002032638
-0.675440702,-0.002029
-0.675107729,-0.002029
-0.675107729,-0.002025363
-0.675107729,-0.002021725
-0.674774756,-0.002021725
-0.674774756,-0.002018087
-0.674774756,-0.002018087
-0.674774756,-0.002014449
-0.674441784,-0.002014449
-0.674108811,-0.002010811
-0.674108811,-0.002007173
-0.674108811,-0.002003535
-0.674108811,-0.002003535
-0.674108811,-0.001999897
-0.673775839,-0.001999897
-0.673775839,-0.001996259
-0.673442866,-0.001992622
-0.673442866,-0.001988984
-0.673109893,-0.001988984
-0.673442866,-0.001988984
-0.673109893,-0.001985346
-0.673109893,-0.001981708
-0.672776921,-0.00197807
-0.672776921,-0.00197807
-0.672776921,-0.001974432
-0.672443948,-0.001970794
-0.672443948,-0.001970794
-0.672110976,-0.001967156
-0.672110976,-0.001963518
-0.672110976,-0.001959881
-0.672110976,-0.001959881
-0.671778003,-0.001956243
-0.671778003,-0.001956243
-0.67144503,-0.001952605
-0.67144503,-0.001948967
-0.671112058,-0.001945329
-0.671112058,-0.001945329
-0.671112058,-0.001941691
-0.671112058,-0.001941691
-0.670779085,-0.001938053
-0.670779085,-0.001934415
-0.670779085,-0.001930777
-0.670779085,-0.001930777
-0.670446113,-0.001927139
-0.670446113,-0.001927139
-0.670446113,-0.001927139
-0.670446113,-0.001923502
-0.67011314,-0.001919864
-0.67011314,-0.001919864
-0.669780167,-0.001916226
-0.669780167,-0.001912588
-0.669780167,-0.00190895
-0.669780167,-0.00190895
-0.669447195,-0.001905312
-0.669447195,-0.001901674
-0.669114222,-0.001901674
-0.669114222,-0.001898036
-0.669114222,-0.001894398
-0.669114222,-0.001894398
-0.669114222,-0.001890761
-0.668781249,-0.001887123
-0.668781249,-0.001887123
-0.668448277,-0.001883485
-0.668448277,-0.001883485
-0.668448277,-0.001879847
-0.668115304,-0.001876209
-0.668115304,-0.001876209
-0.668115304,-0.001872571
-0.668115304,-0.001868933
-0.667782332,-0.001868933
-0.667782332,-0.001865295
-0.667449359,-0.001861657
-0.667449359,-0.001861657
-0.667449359,-0.00185802
-0.667449359,-0.001854382
-0.667449359,-0.001854382
-0.667116386,-0.001850744
-0.667116386,-0.001847106
-0.666783414,-0.001847106
-0.666783414,-0.001843468
-0.666450441,-0.001843468
-0.666450441,-0.00183983
-0.666450441,-0.001836192
