Voltage(V),Current(A)
-1.74303208,-0.033256071
-1.742623396,-0.033244609
-1.742213861,-0.033233123
-1.741803474,-0.033221613
-1.741392235,-0.03321008
-1.740980142,-0.033198523
-1.740567194,-0.033186942
-1.740153392,-0.033175337
-1.739738733,-0.033163708
-1.739323217,-0.033152055
-1.738906843,-0.033140378
-1.738489611,-0.033128678
-1.738071518,-0.033116953
-1.737652565,-0.033105204
-1.73723275,-0.033093431
-1.736812072,-0.033081634
-1.736390532,-0.033069813
-1.735968127,-0.033057968
-1.735544856,-0.033046099
-1.73512072,-0.033034205
-1.734695716,-0.033022287
-1.734269845,-0.033010345
-1.733843105,-0.032998379
-1.733415495,-0.032986389
-1.732987015,-0.032974374
-1.732557663,-0.032962335
-1.732127438,-0.032950271
-1.731696341,-0.032938183
-1.731264369,-0.032926071
-1.730831522,-0.032913934
-1.730397799,-0.032901773
-1.729963199,-0.032889587
