Voltage(V),Current(A)
-1.089048866,-0.038860255
-1.088980441,-0.03885352
-1.08891182,-0.038846766
-1.088843003,-0.038839993
-1.088773989,-0.0388332
-1.088704778,-0.038826388
-1.088635371,-0.038819557
-1.088565766,-0.038812706
-1.088495963,-0.038805836
-1.088425963,-0.038798947
-1.088355764,-0.038792038
-1.088285366,-0.038785109
-1.08821477,-0.038778161
-1.088143975,-0.038771194
-1.08807298,-0.038764207
-1.088001786,-0.038757201
-1.087930391,-0.038750175
-1.087858797,-0.038743129
-1.087787002,-0.038736064
-1.087715006,-0.038728979
-1.087642809,-0.038721874
-1.08757041,-0.03871475
-1.08749781,-0.038707606
-1.087425008,-0.038700442
-1.087352004,-0.038693258
-1.087278797,-0.038686054
-1.087205388,-0.038678831
-1.087131775,-0.038671587
-1.087057959,-0.038664324
-1.086983939,-0.038657041
-1.086909715,-0.038649738
-1.086835287,-0.038642414
-1.086760655,-0.038635071
-1.086685818,-0.038627708
-1.086610775,-0.038620324
-1.086535528,-0.038612921
-1.086460074,-0.038605497
-1.086384415,-0.038598053
-1.086308549,-0.038590589
-1.086232477,-0.038583105
-1.086156198,-0.0385756
-1.086079712,-0.038568076
-1.086003019,-0.038560531
-1.085926118,-0.038552965
-1.085849008,-0.038545379
-1.085771691,-0.038537773
-1.085694165,-0.038530147
-1.085616431,-0.0385225
-1.085538487,-0.038514832
-1.085460334,-0.038507144
-1.085381971,-0.038499436
-1.085303398,-0.038491707
-1.085224615,-0.038483957
-1.085145622,-0.038476187
-1.085066417,-0.038468396
-1.084987002,-0.038460584
-1.084907375,-0.038452752
-1.084827536,-0.038444899
-1.084747486,-0.038437025
-1.084667223,-0.038429131
-1.084586748,-0.038421216
-1.084506059,-0.038413279
-1.084425158,-0.038405322
-1.084344043,-0.038397345
-1.084262715,-0.038389346
-1.084181173,-0.038381326
-1.084099416,-0.038373286
-1.084017445,-0.038365224
-1.083935259,-0.038357141
-1.083852858,-0.038349038
-1.083770241,-0.038340913
-1.083687409,-0.038332767
-1.08360436,-0.0383246
-1.083521096,-0.038316412
-1.083437615,-0.038308203
-1.083353917,-0.038299972
-1.083270002,-0.03829172
-1.083185869,-0.038283447
-1.083101519,-0.038275153
-1.083016951,-0.038266838
-1.082932164,-0.038258501
-1.082847159,-0.038250142
-1.082761935,-0.038241763
-1.082676492,-0.038233361
-1.082590829,-0.038224939
-1.082504947,-0.038216495
-1.082418845,-0.038208029
-1.082332522,-0.038199542
-1.082245979,-0.038191033
-1.082159215,-0.038182503
-1.082072229,-0.038173951
-1.081985022,-0.038165378
-1.081897594,-0.038156782
-1.081809943,-0.038148165
-1.08172207,-0.038139527
-1.081633975,-0.038130866
-1.081545657,-0.038122184
-1.081457115,-0.03811348
-1.08136835,-0.038104754
-1.081279361,-0.038096007
-1.081190148,-0.038087237
-1.081100711,-0.038078446
-1.081011049,-0.038069632
-1.080921162,-0.038060797
-1.08083105,-0.038051939
-1.080740713,-0.03804306
-1.080650149,-0.038034158
-1.08055936,-0.038025235
-1.080468344,-0.038016289
-1.080377102,-0.038007321
-1.080285632,-0.037998331
-1.080193936,-0.037989319
-1.080102011,-0.037980285
-1.080009859,-0.037971228
-1.079917479,-0.037962149
-1.079824871,-0.037953048
-1.079732034,-0.037943924
-1.079638968,-0.037934779
-1.079545672,-0.03792561
-1.079452147,-0.03791642
-1.079358392,-0.037907206
-1.079264407,-0.037897971
-1.079170192,-0.037888713
-1.079075746,-0.037879432
-1.078981069,-0.037870129
-1.07888616,-0.037860803
-1.07879102,-0.037851455
-1.078695649,-0.037842084
-1.078600045,-0.03783269
-1.078504208,-0.037823274
-1.078408139,-0.037813835
-1.078311837,-0.037804373
-1.078215301,-0.037794889
-1.078118532,-0.037785382
-1.078021529,-0.037775851
-1.077924291,-0.037766299
-1.07782682,-0.037756723
-1.077729113,-0.037747124
-1.077631171,-0.037737502
-1.077532994,-0.037727858
-1.077434582,-0.03771819
-1.077335933,-0.037708499
-1.077237048,-0.037698786
-1.077137927,-0.037689049
-1.077038568,-0.037679289
-1.076938973,-0.037669506
-1.07683914,-0.0376597
-1.07673907,-0.037649871
-1.076638762,-0.037640019
-1.076538215,-0.037630143
-1.07643743,-0.037620244
-1.076336405,-0.037610322
-1.076235142,-0.037600376
-1.076133639,-0.037590407
-1.076031897,-0.037580415
-1.075929915,-0.037570399
-1.075827692,-0.03756036
-1.075725228,-0.037550298
-1.075622524,-0.037540212
-1.075519579,-0.037530102
-1.075416392,-0.037519969
-1.075312963,-0.037509813
-1.075209292,-0.037499633
-1.075105379,-0.037489429
-1.075001223,-0.037479201
-1.074896824,-0.03746895
-1.074792182,-0.037458676
-1.074687297,-0.037448377
-1.074582167,-0.037438055
-1.074476794,-0.037427709
-1.074371176,-0.037417339
-1.074265313,-0.037406946
-1.074159205,-0.037396528
-1.074052853,-0.037386087
-1.073946254,-0.037375621
-1.07383941,-0.037365132
-1.073732319,-0.037354619
-1.073624982,-0.037344082
-1.073517398,-0.037333521
-1.073409567,-0.037322935
-1.073301489,-0.037312326
-1.073193163,-0.037301692
-1.07308459,-0.037291035
-1.072975768,-0.037280353
-1.072866697,-0.037269647
-1.072757378,-0.037258917
-1.07264781,-0.037248163
-1.072537992,-0.037237384
-1.072427924,-0.037226581
-1.072317607,-0.037215754
-1.072207039,-0.037204902
-1.072096221,-0.037194026
-1.071985151,-0.037183126
-1.071873831,-0.037172201
-1.071762259,-0.037161252
-1.071650436,-0.037150278
-1.07153836,-0.03713928
-1.071426032,-0.037128257
-1.071313451,-0.03711721
-1.071200618,-0.037106138
-1.071087531,-0.037095041
-1.070974191,-0.03708392
-1.070860597,-0.037072774
-1.070746748,-0.037061604
-1.070632646,-0.037050408
-1.070518288,-0.037039188
-1.070403676,-0.037027943
-1.070288808,-0.037016673
-1.070173685,-0.037005379
-1.070058306,-0.03699406
-1.069942671,-0.036982715
-1.069826779,-0.036971346
-1.06971063,-0.036959952
-1.069594225,-0.036948533
-1.069477562,-0.036937089
-1.069360641,-0.036925619
-1.069243462,-0.036914125
-1.069126025,-0.036902606
-1.06900833,-0.036891061
-1.068890376,-0.036879492
-1.068772162,-0.036867897
-1.068653689,-0.036856277
-1.068534957,-0.036844632
-1.068415964,-0.036832962
-1.068296711,-0.036821266
-1.068177198,-0.036809545
-1.068057423,-0.036797798
-1.067937388,-0.036786027
-1.06781709,-0.03677423
-1.067696531,-0.036762407
-1.06757571,-0.036750559
-1.067454627,-0.036738686
-1.06733328,-0.036726787
-1.067211671,-0.036714863
-1.067089799,-0.036702913
-1.066967662,-0.036690937
-1.066845262,-0.036678936
-1.066722598,-0.036666909
-1.066599669,-0.036654857
-1.066476476,-0.036642779
-1.066353017,-0.036630675
-1.066229293,-0.036618545
-1.066105304,-0.03660639
-1.065981048,-0.036594209
-1.065856526,-0.036582002
-1.065731737,-0.036569769
-1.065606682,-0.03655751
-1.06548136,-0.036545226
-1.065355769,-0.036532915
-1.065229912,-0.036520579
-1.065103786,-0.036508216
-1.064977391,-0.036495828
-1.064850729,-0.036483413
-1.064723797,-0.036470973
-1.064596595,-0.036458506
-1.064469125,-0.036446013
-1.064341384,-0.036433494
-1.064213373,-0.036420949
-1.064085092,-0.036408378
-1.06395654,-0.03639578
-1.063827717,-0.036383156
-1.063698623,-0.036370506
-1.063569256,-0.03635783
-1.063439618,-0.036345127
-1.063309708,-0.036332398
-1.063179525,-0.036319643
-1.063049069,-0.036306861
-1.06291834,-0.036294052
-1.062787338,-0.036281217
-1.062656062,-0.036268356
-1.062524511,-0.036255468
-1.062392687,-0.036242554
-1.062260588,-0.036229613
-1.062128213,-0.036216645
-1.061995564,-0.036203651
-1.061862639,-0.03619063
-1.061729438,-0.036177582
-1.06159596,-0.036164507
-1.061462207,-0.036151406
-1.061328176,-0.036138278
-1.061193869,-0.036125124
-1.061059284,-0.036111942
-1.060924421,-0.036098734
-1.060789281,-0.036085498
-1.060653862,-0.036072236
-1.060518164,-0.036058947
-1.060382188,-0.036045631
-1.060245933,-0.036032288
-1.060109397,-0.036018918
-1.059972583,-0.03600552
-1.059835488,-0.035992096
-1.059698112,-0.035978645
-1.059560456,-0.035965166
-1.059422519,-0.035951661
-1.059284301,-0.035938128
