Time(s),Current(A)
0.078097795,-3.77E-10
0.078464451,1.19E-09
0.078832253,-3.76E-10
0.079201203,1.18E-09
0.079571302,-3.76E-10
0.079942552,1.18E-09
0.080314956,-3.75E-10
0.080688514,1.18E-09
0.081063228,-3.75E-10
0.081439101,1.18E-09
0.081816134,-3.74E-10
0.082194328,1.18E-09
0.082573687,-3.74E-10
0.082954211,1.18E-09
0.083335902,-3.73E-10
0.083718762,1.18E-09
0.084102793,-3.73E-10
0.084487997,1.18E-09
0.084874375,-3.72E-10
0.085261929,1.18E-09
0.085650661,-3.72E-10
0.086040573,1.18E-09
0.086431667,-3.71E-10
0.086823944,1.18E-09
0.087217406,-3.71E-10
0.087612054,1.18E-09
0.088007892,-3.70E-10
0.08840492,1.18E-09
0.08880314,-3.70E-10
0.089202555,1.18E-09
0.089603165,-3.69E-10
0.090004973,1.18E-09
0.09040798,-3.69E-10
0.090812189,1.18E-09
0.091217601,-3.69E-10
0.091624217,1.18E-09
0.09203204,-3.68E-10
0.092441071,1.18E-09
0.092851313,-3.68E-10
0.093262766,1.18E-09
0.093675433,-3.67E-10
0.094089316,1.18E-09
0.094504416,-3.67E-10
0.094920735,1.18E-09
0.095338274,-3.66E-10
0.095757037,1.18E-09
0.096177024,-3.66E-10
0.096598237,1.17E-09
0.097020679,-3.66E-10
0.09744435,1.17E-09
0.097869252,-3.65E-10
0.098295388,1.17E-09
0.09872276,-3.65E-10
0.099151368,1.17E-09
0.099581215,-3.64E-10
0.100012302,1.17E-09
0.100444632,-3.64E-10
0.100878206,1.17E-09
0.101313026,-3.63E-10
0.101749094,1.17E-09
0.102186411,-3.63E-10
0.102624979,1.17E-09
0.1030648,-3.63E-10
0.103505876,1.17E-09
0.103948209,-3.62E-10
0.1043918,1.17E-09
0.104836652,-3.62E-10
0.105282765,1.17E-09
0.105730142,-3.61E-10
0.106178785,1.17E-09
0.106628695,-3.61E-10
0.107079875,1.17E-09
0.107532325,-3.61E-10
0.107986048,1.17E-09
0.108441045,-3.60E-10
0.108897319,1.17E-09
0.10935487,-3.60E-10
0.109813702,1.17E-09
0.110273815,-3.59E-10
0.110735212,1.17E-09
0.111197894,-3.59E-10
0.111661863,1.17E-09
0.112127121,-3.59E-10
0.112593669,1.17E-09
0.11306151,-3.58E-10
0.113530645,1.17E-09
0.114001076,-3.58E-10
0.114472804,1.17E-09
0.114945832,-3.57E-10
0.115420162,1.17E-09
0.115895794,-3.57E-10
0.116372732,1.17E-09
0.116850976,-3.57E-10
0.117330528,1.17E-09
0.117811391,-3.56E-10
0.118293566,1.17E-09
0.118777055,-3.56E-10
0.119261859,1.16E-09
0.119747981,-3.56E-10
0.120235422,1.16E-09
0.120724183,-3.55E-10
0.121214268,1.16E-09
0.121705677,-3.55E-10
0.122198413,1.16E-09
0.122692476,-3.55E-10
0.12318787,1.16E-09
0.123684595,-3.54E-10
0.124182654,1.16E-09
0.124682048,-3.54E-10
0.125182779,1.16E-09
0.125684849,-3.53E-10
0.12618826,1.16E-09
0.126693013,-3.53E-10
0.12719911,1.16E-09
0.127706553,-3.53E-10
0.128215344,1.16E-09
0.128725485,-3.52E-10
0.129236977,1.16E-09
0.129749822,-3.52E-10
0.130264022,1.16E-09
0.130779579,-3.52E-10
0.131296494,1.16E-09
0.13181477,-3.51E-10
0.132334408,1.16E-09
0.132855409,-3.51E-10
0.133377777,1.16E-09
0.133901511,-3.51E-10
0.134426615,1.16E-09
0.13495309,-3.50E-10
0.135480938,1.16E-09
0.136010161,-3.50E-10
0.136540759,1.16E-09
0.137072736,-3.50E-10
0.137606093,1.16E-09
0.138140832,-3.49E-10
0.138676954,1.16E-09
0.139214462,-3.49E-10
0.139753357,1.16E-09
0.14029364,-3.49E-10
0.140835314,1.16E-09
0.141378381,-3.48E-10
0.141922842,1.16E-09
0.142468699,-3.48E-10
0.143015954,1.16E-09
0.143564609,-3.48E-10
0.144114665,1.16E-09
0.144666124,-3.47E-10
0.145218988,1.16E-09
0.145773259,-3.47E-10
0.146328939,1.16E-09
0.146886029,-3.47E-10
0.147444531,1.16E-09
0.148004446,-3.46E-10
0.148565778,1.16E-09
0.149128527,-3.46E-10
0.149692696,1.15E-09
0.150258285,-3.46E-10
0.150825298,1.15E-09
0.151393735,-3.46E-10
0.151963598,1.15E-09
0.15253489,-3.45E-10
0.153107612,1.15E-09
0.153681765,-3.45E-10
0.154257352,1.15E-09
0.154834375,-3.45E-10
0.155412835,1.15E-09
0.155992733,-3.44E-10
0.156574073,1.15E-09
0.157156854,-3.44E-10
0.157741081,1.15E-09
0.158326753,-3.44E-10
0.158913873,1.15E-09
0.159502443,-3.43E-10
0.160092464,1.15E-09
0.160683939,-3.43E-10
0.161276869,1.15E-09
0.161871255,-3.43E-10
0.1624671,1.15E-09
0.163064406,-3.43E-10
0.163663174,1.15E-09
0.164263405,-3.42E-10
0.164865103,1.15E-09
0.165468268,-3.42E-10
0.166072902,1.15E-09
0.166679008,-3.42E-10
0.167286586,1.15E-09
0.167895639,-3.41E-10
0.168506169,1.15E-09
0.169118177,-3.41E-10
0.169731665,1.15E-09
0.170346634,-3.41E-10
0.170963088,1.15E-09
0.171581027,-3.41E-10
0.172200453,1.15E-09
0.172821368,-3.40E-10
0.173443774,1.15E-09
0.174067672,-3.40E-10
0.174693065,1.15E-09
0.175319954,-3.40E-10
0.175948341,1.15E-09
0.176578228,-3.39E-10
0.177209616,1.15E-09
0.177842507,-3.39E-10
0.178476904,1.15E-09
0.179112807,-3.39E-10
0.179750219,1.15E-09
0.180389142,-3.39E-10
0.181029577,1.15E-09
0.181671526,-3.38E-10
0.18231499,1.15E-09
0.182959973,-3.38E-10
0.183606474,1.15E-09
0.184254497,-3.38E-10
0.184904043,1.15E-09
0.185555114,-3.38E-10
0.186207711,1.15E-09
0.186861836,-3.37E-10
0.187517492,1.15E-09
0.188174679,-3.37E-10
0.1888334,1.15E-09
0.189493657,-3.37E-10
0.190155451,1.15E-09
0.190818784,-3.36E-10
0.191483658,1.15E-09
0.192150074,-3.36E-10
0.192818035,1.15E-09
0.193487542,-3.36E-10
0.194158597,1.14E-09
0.194831202,-3.36E-10
0.195505358,1.14E-09
0.196181068,-3.35E-10
0.196858333,1.14E-09
0.197537155,-3.35E-10
0.198217535,1.14E-09
0.198899476,-3.35E-10
0.19958298,1.14E-09
0.200268047,-3.35E-10
0.200954681,1.14E-09
0.201642881,-3.34E-10
0.202332652,1.14E-09
0.203023994,-3.34E-10
0.203716908,1.14E-09
0.204411398,-3.34E-10
0.205107464,1.14E-09
0.205805108,-3.34E-10
0.206504333,1.14E-09
0.207205139,-3.33E-10
0.20790753,1.14E-09
0.208611505,-3.33E-10
0.209317069,1.14E-09
0.210024221,-3.33E-10
0.210732964,1.14E-09
0.2114433,-3.33E-10
0.21215523,1.14E-09
0.212868757,-3.32E-10
0.213583881,1.14E-09
0.214300606,-3.32E-10
0.215018932,1.14E-09
0.215738861,-3.32E-10
0.216460396,1.14E-09
0.217183538,-3.32E-10
0.217908288,1.14E-09
0.218634649,-3.31E-10
0.219362622,1.14E-09
0.22009221,-3.31E-10
0.220823413,1.14E-09
0.221556234,-3.31E-10
0.222290675,1.14E-09
0.223026736,-3.31E-10
0.223764421,1.14E-09
0.224503731,-3.31E-10
0.225244668,1.14E-09
0.225987232,-3.30E-10
0.226731427,1.14E-09
0.227477254,-3.30E-10
0.228224715,1.14E-09
0.228973812,-3.30E-10
0.229724546,1.14E-09
0.230476919,-3.30E-10
0.231230932,1.14E-09
0.231986589,-3.29E-10
0.23274389,1.14E-09
0.233502838,-3.29E-10
0.234263433,1.14E-09
0.235025679,-3.29E-10
0.235789576,1.14E-09
0.236555126,-3.29E-10
0.237322332,1.14E-09
0.238091195,-3.29E-10
0.238861717,1.14E-09
0.239633899,-3.28E-10
0.240407744,1.14E-09
0.241183253,-3.28E-10
0.241960427,1.14E-09
0.24273927,-3.28E-10
0.243519782,1.14E-09
0.244301966,-3.28E-10
0.245085822,1.14E-09
0.245871354,-3.27E-10
0.246658562,1.14E-09
0.247447448,-3.27E-10
0.248238015,1.14E-09
0.249030264,-3.27E-10
0.249824197,1.14E-09
0.250619816,-3.27E-10
0.251417121,1.14E-09
0.252216117,-3.27E-10
0.253016803,1.14E-09
0.253819182,-3.26E-10
0.254623255,1.14E-09
0.255429025,-3.26E-10
0.256236493,1.13E-09
0.257045661,-3.26E-10
0.25785653,1.13E-09
0.258669103,-3.26E-10
0.259483382,1.13E-09
0.260299367,-3.25E-10
0.261117061,1.13E-09
0.261936466,-3.25E-10
0.262757584,1.13E-09
0.263580416,-3.25E-10
0.264404963,1.13E-09
0.265231229,-3.25E-10
0.266059214,1.13E-09
0.26688892,-3.25E-10
0.26772035,1.13E-09
0.268553505,-3.24E-10
0.269388386,1.13E-09
0.270224996,-3.24E-10
0.271063336,1.13E-09
0.271903408,-3.24E-10
0.272745215,1.13E-09
0.273588757,-3.24E-10
0.274434036,1.13E-09
0.275281055,-3.24E-10
0.276129814,1.13E-09
0.276980317,-3.23E-10
0.277832564,1.13E-09
0.278686557,-3.23E-10
0.279542299,1.13E-09
0.280399791,-3.23E-10
0.281259034,1.13E-09
0.282120031,-3.23E-10
0.282982784,1.13E-09
0.283847293,-3.23E-10
0.284713562,1.13E-09
0.285581591,-3.22E-10
0.286451383,1.13E-09
0.287322939,-3.22E-10
0.288196261,1.13E-09
0.28907135,-3.22E-10
0.28994821,1.13E-09
0.290826841,-3.22E-10
0.291707245,1.13E-09
0.292589424,-3.22E-10
0.29347338,1.13E-09
0.294359115,-3.21E-10
0.29524663,1.13E-09
0.296135927,-3.21E-10
0.297027008,1.13E-09
0.297919874,-3.21E-10
0.298814529,1.13E-09
0.299710972,-3.21E-10
0.300609207,1.13E-09
0.301509235,-3.21E-10
0.302411057,1.13E-09
0.303314675,-3.21E-10
0.304220092,1.13E-09
0.305127309,-3.20E-10
0.306036328,1.13E-09
0.306947151,-3.20E-10
0.307859778,1.13E-09
0.308774213,-3.20E-10
0.309690457,1.13E-09
0.310608512,-3.20E-10
0.311528379,1.13E-09
0.312450061,-3.20E-10
0.313373559,1.13E-09
0.314298874,-3.19E-10
0.31522601,1.13E-09
0.316154966,-3.19E-10
0.317085746,1.13E-09
0.318018352,-3.19E-10
